magnitude,cdi,mmi,tsunami,sig,nst,dmin,gap,depth,latitude,longitude
7.8,9,9,1,1163,0,1.44,15,20.59,0.3819,-79.9218
7,9,9,1,2074,0,0.349,32,10,32.7906,130.754
6.9,6,6,0,903,0,3.001,14,136,23.0944,94.8654
6.6,6,4,0,738,0,0.789,17,212,36.4725,71.1311
6.7,7,5,1,692,0,6.787,25,27.59,-13.9805,166.594
6.7,7,6,1,691,0,6.697,19,24,-14.0683,166.624
6.9,7,6,1,734,0,1.166,25,26,-14.3235,166.855
7.8,4,3,0,948,0,7.009,20,24,-4.9521,94.3299
7.2,3,7,1,799,0,0.958,17,177,53.9776,158.546
7.1,7,7,1,1496,0,0,0,125.6,59.6204,-153.339
6.6,3,4,1,673,0,2.413,74,10,18.8239,-106.934
6.7,5,6,1,717,0,0.281,22,46,41.9723,142.781
6.5,3,6,1,651,0,3.144,22,13,3.8965,126.862
6.7,8,7,0,1515,0,1.794,16,55,24.8036,93.6505
6.6,8,6,1,765,0,0.41,35,85,15.8015,-93.633
6.9,8,5,0,738,0,2.979,14,21,-4.1064,129.508
7.2,4,7,0,827,0,1.116,18,22,38.2107,72.7797
6.7,2,3,0,691,0,2.033,19,602.75,-9.1825,-71.2574
7.6,5,4,0,896,0,2.852,10,620.56,-10.0598,-71.0184
7.6,6,5,1,957,0,3.287,10,606.21,-10.5372,-70.9437
6.8,5,6,1,715,0,1.599,19,12.59,-8.8994,158.422
6.5,7,7,0,1018,0,0,0,11,38.67,20.6
6.7,5,4,0,702,0,1.444,17,12,31.0009,128.873
6.9,5,6,0,744,0,0.821,43,10,-29.5097,-72.0585
6.9,6,6,1,761,0,0.784,32,12,-29.5067,-72.0068
6.6,7,4,0,675,0,2.792,31,10,6.8431,94.648
6.8,7,7,1,841,0,0.258,41,46,-30.8796,-71.4519
6.5,5,7,0,657,0,1.53,21,20,-8.3381,124.875
7.5,8,7,0,1448,0,0.622,18,231,36.5244,70.3676
7.1,6,6,1,780,0,0.592,11,135,-14.8595,167.303
6.6,7,7,0,671,0,2.486,13,18,-0.6212,131.262
